,word,negative,positive,uncertainty,litigious,constraining,superfluous,interesting
9,abandon,True,False,False,False,False,False,False
10,abandoned,True,False,False,False,False,False,False
11,abandoning,True,False,False,False,False,False,False
12,abandonment,True,False,False,False,False,False,False
51,abdicated,True,False,False,False,False,False,False
52,abdicates,True,False,False,False,False,False,False
53,abdicating,True,False,False,False,False,False,False
54,abdication,True,False,False,False,False,False,False
70,aberrant,True,False,False,False,False,False,False
71,aberration,True,False,False,False,False,False,False
72,aberrational,True,False,False,False,False,False,False
79,abetting,True,False,False,False,False,False,False
82,abeyance,False,False,True,False,False,False,False
94,abide,False,False,False,False,True,False,False
97,abiding,False,False,False,False,True,False,False
125,able,False,True,False,False,False,False,False
138,abnormal,True,False,False,False,False,False,False
139,abnormality,True,False,False,False,False,False,False
141,abnormally,True,False,False,False,False,False,False
145,abolish,True,False,False,False,False,False,False
146,abolished,True,False,False,False,False,False,False
147,abolishes,True,False,False,False,False,False,False
148,abolishing,True,False,False,False,False,False,False
188,abovementioned,False,False,False,True,False,False,False
213,abrogate,True,False,False,True,False,False,False
214,abrogated,True,False,False,True,False,False,False
215,abrogates,True,False,False,True,False,False,False
216,abrogating,True,False,False,True,False,False,False
217,abrogation,True,False,False,True,False,False,False
221,abrupt,True,False,False,False,False,False,False
224,abruptly,True,False,False,False,False,False,False
225,abruptness,True,False,False,False,False,False,False
247,absence,True,False,False,False,False,False,False
252,absenteeism,True,False,False,False,False,False,False
278,absolve,False,False,False,True,False,False,False
279,absolved,False,False,False,True,False,False,False
280,absolves,False,False,False,True,False,False,False
281,absolving,False,False,False,True,False,False,False
336,abundance,False,True,False,False,False,False,False
338,abundant,False,True,False,False,False,False,False
340,abuse,True,False,False,False,False,False,False
341,abused,True,False,False,False,False,False,False
345,abusing,True,False,False,False,False,False,False
346,abusive,True,False,False,False,False,False,False
347,abusively,True,False,False,False,False,False,False
348,abusiveness,True,False,False,False,False,False,False
426,accession,False,False,False,True,False,False,False
432,accident,True,False,False,False,False,False,False
433,accidental,True,False,False,False,False,False,False
434,accidentally,True,False,False,False,False,False,False
438,acclaimed,False,True,False,False,False,False,False
477,accomplish,False,True,False,False,False,False,False
478,accomplished,False,True,False,False,False,False,False
479,accomplishes,False,True,False,False,False,False,False
480,accomplishing,False,True,False,False,False,False,False
481,accomplishment,False,True,False,False,False,False,False
574,accusation,True,False,False,False,False,False,False
579,accuse,True,False,False,False,False,False,False
580,accused,True,False,False,False,False,False,False
583,accuses,True,False,False,False,False,False,False
584,accusing,True,False,False,False,False,False,False
620,achieve,False,True,False,False,False,False,False
622,achieved,False,True,False,False,False,False,False
623,achievement,False,True,False,False,False,False,False
627,achieves,False,True,False,False,False,False,False
628,achieving,False,True,False,False,False,False,False
678,acquiesce,True,False,False,False,False,False,False
679,acquiesced,True,False,False,False,False,False,False
684,acquiesces,True,False,False,False,False,False,False
685,acquiescing,True,False,False,False,False,False,False
690,acquirees,False,False,False,True,False,False,False
